accuracy,a_u_c,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5600907206535339,0.5949792861938477,0.8190755844116211,0.5135135054588318,0.5699999928474426,0.5945945978164673,0.788127064704895,0.6526098847389221,0.5063291192054749,0.8695651888847351
0.680272102355957,0.7353320121765137,0.6506285667419434,0.6299559473991394,0.7149999737739563,0.7837837934494019,0.8311036825180054,0.5914561748504639,0.7115384340286255,0.804347813129425
0.7551020383834839,0.8297510743141174,0.5150618553161621,0.7277227640151978,0.7350000143051147,0.7747747898101807,0.8387960195541382,0.5468551516532898,0.7234042286872864,0.739130437374115
0.7641723155975342,0.8414626717567444,0.49932289123535156,0.7424242496490479,0.7350000143051147,0.8198198080062866,0.8423076868057251,0.5145799517631531,0.782608687877655,0.782608687877655
0.8004535436630249,0.8657572865486145,0.4768087863922119,0.7745097875595093,0.7900000214576721,0.837837815284729,0.8479932546615601,0.493276447057724,0.8181818127632141,0.782608687877655
0.80498868227005,0.8820539712905884,0.4397970736026764,0.7766990065574646,0.800000011920929,0.837837815284729,0.8513377904891968,0.4744461476802826,0.8181818127632141,0.782608687877655
0.8208616971969604,0.8949792981147766,0.4186150133609772,0.795121967792511,0.8149999976158142,0.837837815284729,0.8520066738128662,0.46620988845825195,0.8181818127632141,0.782608687877655
0.8344671130180359,0.8901867270469666,0.4327758550643921,0.8067632913589478,0.8349999785423279,0.837837815284729,0.8526755571365356,0.4591945707798004,0.8181818127632141,0.782608687877655
0.8503401279449463,0.9014211893081665,0.4044630229473114,0.8252426981925964,0.8500000238418579,0.8198198080062866,0.8576923608779907,0.4504953920841217,0.8095238208770752,0.739130437374115
0.8571428656578064,0.9153423309326172,0.36956414580345154,0.8624338507652283,0.8149999976158142,0.837837815284729,0.8613712191581726,0.44134244322776794,0.8181818127632141,0.782608687877655
0.8140589594841003,0.8873341083526611,0.44041696190834045,0.7864077687263489,0.8100000023841858,0.8288288116455078,0.8608695864677429,0.43667465448379517,0.800000011920929,0.782608687877655
0.8707482814788818,0.928091287612915,0.34267908334732056,0.8487805128097534,0.8700000047683716,0.8468468189239502,0.8608695268630981,0.43495455384254456,0.8085106611251831,0.8260869383811951
0.8548752665519714,0.9212551712989807,0.35979607701301575,0.8434343338012695,0.8349999785423279,0.8468468189239502,0.8591973185539246,0.43693214654922485,0.8085106611251831,0.8260869383811951
0.841269850730896,0.9132987260818481,0.3840925097465515,0.8186274766921997,0.8349999785423279,0.8468468189239502,0.8605351448059082,0.43954014778137207,0.8085106611251831,0.8260869383811951
0.841269850730896,0.9070539474487305,0.40018633008003235,0.824999988079071,0.824999988079071,0.837837815284729,0.8610367774963379,0.44290751218795776,0.804347813129425,0.804347813129425
0.8616780042648315,0.9331638813018799,0.3322581350803375,0.8527919054031372,0.8399999737739563,0.837837815284729,0.8632107377052307,0.44553735852241516,0.804347813129425,0.804347813129425
0.8548752665519714,0.9271265864372253,0.35041818022727966,0.8269230723381042,0.8600000143051147,0.8288288116455078,0.865050196647644,0.4508749842643738,0.800000011920929,0.782608687877655
0.8639456033706665,0.922697126865387,0.3577074110507965,0.8571428656578064,0.8399999737739563,0.8288288116455078,0.8662207722663879,0.4607722759246826,0.800000011920929,0.782608687877655
0.8571428656578064,0.9228423237800598,0.36068397760391235,0.8374384045600891,0.8500000238418579,0.8288288116455078,0.8617056608200073,0.4643179774284363,0.800000011920929,0.782608687877655
0.8775510191917419,0.9326763153076172,0.33079594373703003,0.8613861203193665,0.8700000047683716,0.8288288116455078,0.8617056608200073,0.46943947672843933,0.800000011920929,0.782608687877655
0.8866212964057922,0.9417426586151123,0.31166723370552063,0.8571428656578064,0.8999999761581421,0.837837815284729,0.8642140626907349,0.4708408713340759,0.7916666865348816,0.8260869383811951
0.8480725884437561,0.92307049036026,0.3581651747226715,0.8308457732200623,0.8349999785423279,0.837837815284729,0.8642140626907349,0.4792258143424988,0.7916666865348816,0.8260869383811951
0.8616780042648315,0.941504180431366,0.30814504623413086,0.8423645496368408,0.8550000190734863,0.837837815284729,0.8672240972518921,0.48552727699279785,0.7916666865348816,0.8260869383811951
0.8730158805847168,0.9383402466773987,0.3184431195259094,0.8529411554336548,0.8700000047683716,0.8468468189239502,0.8678929805755615,0.4889364242553711,0.8085106611251831,0.8260869383811951
0.8730158805847168,0.9345332384109497,0.33012497425079346,0.8636363744735718,0.8550000190734863,0.837837815284729,0.8685619235038757,0.4930668771266937,0.7916666865348816,0.8260869383811951
0.8616780042648315,0.9316182732582092,0.33926719427108765,0.8423645496368408,0.8550000190734863,0.837837815284729,0.8680602312088013,0.4976682960987091,0.7916666865348816,0.8260869383811951
0.8730158805847168,0.9334232807159424,0.33225294947624207,0.8600000143051147,0.8600000143051147,0.8288288116455078,0.866053581237793,0.5017903447151184,0.7755101919174194,0.8260869383811951
0.8934240341186523,0.9391493797302246,0.31757330894470215,0.8805969953536987,0.8849999904632568,0.8288288116455078,0.8637124300003052,0.5124397873878479,0.7755101919174194,0.8260869383811951
0.8707482814788818,0.9405290484428406,0.3112143874168396,0.8592965006828308,0.8550000190734863,0.8288288116455078,0.8660535216331482,0.5136697292327881,0.7755101919174194,0.8260869383811951
0.9047619104385376,0.9448962211608887,0.298234760761261,0.8872548937797546,0.9049999713897705,0.8288288116455078,0.8673913478851318,0.5145196318626404,0.7755101919174194,0.8260869383811951
0.8775510191917419,0.9385373592376709,0.3208063542842865,0.8476190567016602,0.8899999856948853,0.8288288116455078,0.8658863306045532,0.5201874375343323,0.7755101919174194,0.8260869383811951
0.8707482814788818,0.9442012906074524,0.30604088306427,0.8557214140892029,0.8600000143051147,0.8288288116455078,0.865384578704834,0.5227105021476746,0.7755101919174194,0.8260869383811951
